name,photo,description,calories,price,ip_address
Juice - Orange 1.89l,http://dummyimage.com/185x100.png/dddddd/000000,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",953,1979,253.102.245.11
"Nut - Almond, Blanched, Whole",http://dummyimage.com/102x100.png/dddddd/000000,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",188,1289,37.229.117.103
"Fish - Atlantic Salmon, Cold",http://dummyimage.com/182x100.png/dddddd/000000,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",662,1506,13.7.45.35
Cumin - Whole,http://dummyimage.com/136x100.png/5fa2dd/ffffff,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",745,1634,207.148.250.241
Tea - Jasmin Green,http://dummyimage.com/159x100.png/ff4444/ffffff,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",355,1538,88.249.126.189
Breadfruit,http://dummyimage.com/179x100.png/ff4444/ffffff,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",807,1762,159.11.20.89
Bread - Pumpernickel,http://dummyimage.com/208x100.png/5fa2dd/ffffff,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",600,1029,7.254.214.255
Tea - Herbal Sweet Dreams,http://dummyimage.com/168x100.png/ff4444/ffffff,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",302,1980,90.127.145.174
Pur Value,http://dummyimage.com/160x100.png/dddddd/000000,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,901,1021,234.7.12.96
Knife Plastic - White,http://dummyimage.com/221x100.png/cc0000/ffffff,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,198,1954,202.96.13.144
